Designator ,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,79,-31.5,45,bottom
C2,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,89,-38.5,-90,bottom
C3,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,88,-41.5,180,bottom
C4,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,88.5,-35.5,180,bottom
C5,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,83.5,-36.5,-90,bottom
C6,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,81.5,-36.5,-90,bottom
C7,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,81.5,-42.5,90,bottom
C8,2.2n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,66.912,-40.192,180,bottom
C9,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,79,-46,135,bottom
C10,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,91.5,-46,45,bottom
C11,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,83.5,-42.5,90,bottom
C12,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,88,-43.5,180,bottom
C13,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,107.911999,-51.769999,-90,bottom
C14,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,108.166,-46.944,90,bottom
C18,2.2n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,98,-28,-90,bottom
IC1,AZ1117IH-3.3TRG1,SOT230P700X180-4N,113.5,-50.5,0,bottom
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,82.5,-39.5,0,bottom
R4,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,102,-27,0,bottom
R5,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,66.984,-37.848,180,bottom
R10,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,103.5,-29,180,bottom
C15,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,97.5,-37.5,0,top
C16,10p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,81.5,-52.5,-45,top
C17,10p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,86,-52.5,-135,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,110.49,-38.1,180,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,54.61,-38.862,180,top
D3,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,54.61,-49.53,180,top
D4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,116.586001,-38.1,0,top
IC2,USBLC6-2SC6,SOT95P280X145-6N,92,-30,180,top
J1,UJ32-C-H-G-H2-SMT-TR,UJ32CHGH2SMTTR,104.5,-28,180,top
J2,EN11-HSM1BF20,EN11HSM1BF20,64.5,-47.5,0,top
R2,220,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,110.49,-41.656,180,top
R3,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,86,-48.5,135,top
R6,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,116.586,-41.656,0,top
R7,220,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,54.61,-42.418,180,top
R8,220,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,54.61,-45.974,180,top
R9,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,114,-34,0,top
S1,222AMVBAR,222AMVBAR,100.5,-43,0,top
SW1,SW_Push,SW_MX,66.402,-64.008,0,top
SW2,SW_Push,SW_MX,85.302,-64.008,0,top
SW3,SW_Push,SW_MX,104.202,-64.008,0,top
SW4,SW_Push,SW_MX,66.402,-82.804,0,top
SW8,SW_Push,SW_MX,85.302,-82.804,0,top
SW9,SW_Push,SW_MX,104.202,-82.804,0,top
U1,STM32H7A3RGTx,LQFP-64_10x10mm_P0.5mm,85.388,-39.445,90,top
Y2,XRCGB25M000FAN00R0,XRCGB,83.5,-50.5,-45,top
