"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","4.7u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C2,C3,C4,C5,C6,C7,C11,C12","100n","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","8",""
"C8,C18","2.2n","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C9,C10","1u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"C13","22u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C14","10u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C15","0.1u","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1",""
"C16,C17","10p","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2",""
"D1,D2,D3,D4","LED","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","4",""
"IC1","AZ1117IH-3.3TRG1","https://www.diodes.com//assets/Datasheets/AZ1117I.pdf","SOT230P700X180-4N","1",""
"IC2","USBLC6-2SC6","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00050750.pdf","SOT95P280X145-6N","1",""
"J1","UJ32-C-H-G-H2-SMT-TR","https://www.sameskydevices.com/product/resource/supplyframepdf/uj32-c-h-g-h2-smt-tr.pdf","UJ32CHGH2SMTTR","1",""
"J2","EN11-HSM1BF20","","EN11HSM1BF20","1",""
"J3","61300511121","http://katalog.we-online.de/em/datasheet/6130xx11121.pdf","HDRV5W64P0X254_1X5_1270X254X854P","1",""
"R1","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R2,R7,R8","220","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3",""
"R3,R6","330","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R4,R5","1M","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R9,R10","5.1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"S1","222AMVBAR","https://www.ctscorp.com/wp-content/uploads/222A.pdf","CustomFootprints:222AMVBAR","1",""
"SW1,SW2,SW3,SW4,SW8,SW9","SW_Push","~","CustomFootprints:SW_MX","6",""
"U1","STM32H7A3RGTx","https://www.st.com/resource/en/datasheet/stm32h7a3rg.pdf","Package_QFP:LQFP-64_10x10mm_P0.5mm","1",""
"Y2","XRCGB25M000FAN00R0","https://www.murata.com/products/productdata/8801060290590/SPEC-XRCGB25M000FAN00R0.pdf","XRCGB","1",""
